año,Constitución,Corrupción,Derechos humanos,Desigualdad,Economía,Educación,Medio ambiente,Migración,Otros,Pensiones,Pobreza,Salud,Seguridad,Trabajo/Empleo,Vivienda
1994,0.0,4.42,2.47,0.0,6.4,9.84,2.45,0.0,0.0,0.0,16.87,16.74,15.48,18.71,6.62
1995,0.0,3.54,2.76,0.0,5.96,9.3,2.95,0.0,0.88,0.0,16.32,11.5,23.05,18.26,5.49
1996,0.75,3.88,2.17,0.0,5.35,9.39,2.45,0.0,3.66,0.0,15.56,12.89,19.96,18.71,5.22
1997,0.84,5.74,2.29,0.0,4.64,8.66,1.04,0.0,3.56,0.0,16.73,11.22,19.84,19.48,5.97
1998,0.94,4.63,2.31,0.0,3.79,8.57,2.57,0.0,3.56,0.0,14.69,13.79,21.25,19.65,4.23
1999,1.58,2.41,2.27,0.0,2.39,8.29,1.91,0.0,3.49,0.0,15.38,12.25,20.72,25.42,3.89
2000,1.14,2.12,1.84,0.0,3.59,7.77,1.53,0.0,3.03,0.0,14.34,12.1,20.68,27.81,4.05
2001,1.15,2.47,1.71,0.0,3.06,8.03,1.54,0.0,2.15,0.0,14.21,14.04,19.71,27.9,4.04
2002,1.52,3.51,1.57,0.0,2.22,8.61,1.39,0.0,3.93,0.0,13.25,13.94,19.27,26.62,4.18
2003,1.13,4.43,1.8,0.0,2.32,9.53,1.29,0.0,3.71,0.0,13.1,12.85,22.09,24.07,3.7
2004,1.04,4.34,1.77,0.0,2.02,8.85,1.21,0.0,4.56,0.0,11.9,13.24,22.69,25.17,3.22
2005,0.31,3.63,1.69,0.0,3.07,10.15,1.33,0.0,4.32,0.0,11.62,13.54,22.75,23.49,4.09
2006,0.0,3.85,1.25,0.0,3.23,12.22,1.41,0.0,5.82,0.0,10.65,12.49,24.32,20.2,4.57
2007,0.0,3.27,1.08,0.0,4.09,10.63,1.94,0.0,6.44,0.0,11.38,11.89,25.21,19.97,4.11
2008,0.0,4.13,1.02,0.0,9.46,10.95,1.85,0.0,5.0,0.0,9.39,11.91,22.65,20.28,3.38
2009,0.0,4.35,1.1,0.0,3.17,12.02,1.82,0.0,5.96,0.0,8.49,13.06,24.39,21.31,4.33
2010,0.0,4.25,0.91,0.0,4.17,12.2,1.86,0.0,4.43,0.0,8.85,13.17,25.06,19.58,5.51
2011,0.0,3.35,1.31,0.0,5.16,16.27,1.82,0.0,4.96,0.0,9.07,13.44,24.03,16.13,4.47
2012,0.0,3.26,1.18,0.0,4.98,15.27,1.95,0.0,5.73,0.0,9.75,13.69,22.1,17.16,4.92
2013,0.0,3.33,1.3,0.0,4.36,14.73,2.22,0.0,6.13,0.0,8.02,16.68,23.17,16.56,3.48
2014,0.52,3.05,1.23,3.75,4.64,15.44,1.26,0.0,5.31,0.0,7.41,16.0,21.55,16.32,3.53
2015,1.41,8.59,1.2,4.04,3.79,12.29,1.24,0.0,4.61,0.0,7.32,14.3,23.1,15.01,3.1
2016,1.1,10.21,1.51,3.55,3.41,11.56,1.26,0.0,4.24,0.0,6.58,13.17,23.06,17.62,2.71
2017,1.19,8.38,1.34,3.64,2.17,11.55,1.42,0.0,4.24,4.18,7.02,13.03,21.66,17.19,3.0
2018,0.92,6.54,1.03,2.55,0.0,11.43,1.32,0.0,3.06,15.9,6.67,12.3,21.55,14.0,2.74
2019,1.67,7.15,2.03,4.48,0.0,11.41,1.47,0.89,0.77,18.47,5.39,13.47,16.46,14.0,2.33
2021,0.0,6.61,1.86,3.87,0.0,11.68,2.7,1.9,0.61,13.65,7.59,15.13,19.56,10.85,4.0
2022,0.49,4.67,0.84,2.85,3.87,8.93,1.74,5.47,0.74,10.74,4.58,11.14,31.21,8.63,4.09
2023,0.0,7.64,0.93,2.18,3.68,8.39,1.1,5.01,0.74,9.21,6.12,13.53,29.06,8.05,4.35
2024,0.0,7.03,1.42,2.56,2.36,8.3,1.73,6.63,0.58,10.71,4.7,10.33,32.38,7.95,3.31
2025,0.0,6.05,1.11,2.36,1.63,8.42,1.3,6.83,0.55,7.79,5.15,12.46,31.3,11.38,3.68
