año,presidente,tema,pct_presidencial,pct_ciudadana,brecha
1994,frei,Constitución,3.75,0.0,3.75
1994,frei,Corrupción,1.5,4.42,-2.92
1994,frei,Derechos humanos,0.56,2.47,-1.91
1994,frei,Desigualdad,0.36,0.0,0.36
1994,frei,Economía,37.52,6.4,31.12
1994,frei,Educación,14.26,9.84,4.42
1994,frei,Medio ambiente,3.2,2.45,0.75
1994,frei,Migración,0.94,0.0,0.94
1994,frei,Pensiones,2.25,0.0,2.25
1994,frei,Pobreza,11.26,16.87,-5.61
1994,frei,Salud,8.07,16.74,-8.67
1994,frei,Seguridad,4.7,15.48,-10.78
1994,frei,Trabajo/Empleo,6.56,18.71,-12.15
1994,frei,Vivienda,5.06,6.62,-1.56
1995,frei,Constitución,1.18,0.0,1.18
1995,frei,Corrupción,0.0,3.57,-3.57
1995,frei,Derechos humanos,3.08,2.78,0.3
1995,frei,Desigualdad,1.9,0.0,1.9
1995,frei,Economía,24.11,6.01,18.1
1995,frei,Educación,24.11,9.38,14.73
1995,frei,Medio ambiente,0.0,2.98,-2.98
1995,frei,Migración,0.95,0.0,0.95
1995,frei,Pensiones,3.78,0.0,3.78
1995,frei,Pobreza,8.74,16.46,-7.72
1995,frei,Salud,11.82,11.6,0.22
1995,frei,Seguridad,8.04,23.25,-15.21
1995,frei,Trabajo/Empleo,10.15,18.42,-8.27
1995,frei,Vivienda,2.13,5.54,-3.41
1996,frei,Constitución,1.97,0.78,1.19
1996,frei,Corrupción,2.14,4.03,-1.89
1996,frei,Derechos humanos,0.0,2.25,-2.25
1996,frei,Desigualdad,0.17,0.0,0.17
1996,frei,Economía,29.55,5.55,24.0
1996,frei,Educación,22.49,9.75,12.74
1996,frei,Medio ambiente,0.82,2.54,-1.72
1996,frei,Migración,0.5,0.0,0.5
1996,frei,Pensiones,2.14,0.0,2.14
1996,frei,Pobreza,11.17,16.15,-4.98
1996,frei,Salud,11.49,13.38,-1.89
1996,frei,Seguridad,4.28,20.72,-16.44
1996,frei,Trabajo/Empleo,5.57,19.42,-13.85
1996,frei,Vivienda,7.71,5.42,2.29
1997,frei,Constitución,1.2,0.87,0.33
1997,frei,Corrupción,0.74,5.95,-5.22
1997,frei,Derechos humanos,0.12,2.37,-2.25
1997,frei,Desigualdad,0.98,0.0,0.98
1997,frei,Economía,27.73,4.81,22.92
1997,frei,Educación,24.93,8.98,15.95
1997,frei,Medio ambiente,1.57,1.08,0.49
