año,presidente,alineamiento_global
1994,frei,0.8021
1995,frei,0.8111
1996,frei,0.8067
1997,frei,0.7863
1998,frei,0.7404
1999,frei,0.7909
2000,lagos,0.7445
2001,lagos,0.772
2002,lagos,0.8178
2003,lagos,0.8299
2004,lagos,0.7324
2005,lagos,0.7471
2006,bachelet,0.7937
2007,bachelet,0.7764
2008,bachelet,0.8171
2009,bachelet,0.7748
2010,pinera,0.9037
2011,pinera,0.9013
2012,pinera,0.9172
2013,pinera,0.891
2014,bachelet,0.8395
2015,bachelet,0.8297
2016,bachelet,0.791
2017,bachelet,0.7966
2018,pinera,0.8365
2019,pinera,0.8657
2021,pinera,0.8388
2022,boric,0.8932
2023,boric,0.8867
2024,boric,0.8587
2025,boric,0.8653
