año,pct_aprueba,pct_desaprueba,pct_neutro,n_total_respuestas,n_encuestas_año
1994,52.76,25.02,22.21,1426,1
1995,50.12,26.6,23.27,2818,2
1996,43.62,36.47,19.92,2737,2
1997,42.3,39.9,17.8,1333,1
1998,39.15,40.18,20.67,2710,2
1999,32.02,44.87,23.12,2800,2
2000,50.3,29.38,20.31,2744,2
2001,44.09,38.38,17.53,1378,1
2002,46.94,33.38,19.68,4074,3
2003,51.18,27.34,21.48,2736,2
2004,61.5,20.41,18.09,2882,2
2005,62.29,21.03,16.68,4344,3
2006,50.29,31.87,17.84,2906,2
2007,41.03,42.59,16.38,2927,2
2008,42.84,42.06,15.1,2895,2
2009,73.8,14.79,11.4,4408,3
2010,47.57,33.14,19.29,2732,2
2011,25.74,59.84,14.42,2987,2
2012,28.4,55.94,15.66,4395,3
2013,33.51,45.93,20.56,2835,2
2014,45.52,37.2,17.28,2775,2
2015,25.82,60.18,14.0,4156,3
2016,18.17,65.26,16.56,2785,2
2017,21.34,57.19,21.47,4181,3
2018,37.7,40.39,21.91,1347,1
2019,16.2,67.33,16.47,2795,2
2021,16.37,69.46,14.17,1389,1
2022,29.52,58.07,12.41,2612,2
2023,27.75,64.4,7.86,2796,2
2024,29.96,60.02,10.02,2804,2
2025,25.07,66.97,7.96,4036,3
