encuesta,año,mes,n_respuestas,pct_aprueba,pct_desaprueba,pct_neutro
29,1994,12,1426,52.76,25.02,22.21
30,1995,6,1408,50.95,24.32,24.72
31,1995,11,1410,49.29,28.89,21.82
32,1996,7,1387,47.14,35.76,17.1
33,1996,12,1350,40.1,37.17,22.73
34,1997,7,1333,42.3,39.9,17.8
35,1998,1,1361,36.59,40.8,22.61
36,1998,6,1349,41.7,39.56,18.74
37,1999,5,1384,34.39,43.18,22.43
38,1999,10,1416,29.64,46.56,23.8
39,2000,4,1398,46.56,29.53,23.9
40,2000,12,1346,54.05,29.22,16.73
41,2001,6,1378,44.09,38.38,17.53
42,2002,1,1388,47.74,33.58,18.68
43,2002,7,1324,47.97,33.19,18.84
44,2002,12,1362,45.1,33.38,21.52
45,2003,6,1373,50.21,28.59,21.2
46,2003,12,1363,52.16,26.08,21.75
47,2004,7,1452,59.36,22.36,18.28
48,2004,12,1430,63.63,18.46,17.9
49,2005,7,1444,63.63,18.67,17.7
50,2005,9,1446,62.36,20.93,16.71
51,2005,11,1454,60.89,23.48,15.63
52,2006,7,1435,47.85,31.91,20.24
54,2006,12,1471,52.73,31.83,15.44
55,2007,6,1463,42.16,41.91,15.93
56,2007,12,1464,39.9,43.27,16.83
57,2008,6,1450,41.01,44.44,14.54
58,2008,12,1445,44.67,39.67,15.65
59,2009,6,1477,67.64,17.87,14.49
60,2009,8,1459,74.62,14.98,10.4
61,2009,10,1472,79.15,11.53,9.32
62,2010,7,1380,48.38,30.81,20.81
63,2010,12,1352,46.76,35.47,17.77
64,2011,7,1474,28.08,56.05,15.86
65,2011,12,1513,23.39,63.64,12.98
66,2012,4,1494,24.5,61.5,14.0
67,2012,8,1476,28.15,53.78,18.07
68,2012,12,1425,32.55,52.54,14.91
69,2013,8,1435,32.14,44.77,23.09
70,2013,10,1400,34.88,47.09,18.04
71,2014,7,1393,51.73,29.67,18.61
72,2014,11,1382,39.31,44.74,15.95
73,2015,4,1380,29.75,57.8,12.45
74,2015,8,1376,23.05,62.95,13.99
75,2015,11,1400,24.65,59.8,15.55
77,2016,8,1364,15.77,68.27,15.95
78,2016,12,1421,20.57,62.26,17.17
79,2017,4,1424,19.19,58.92,21.89
80,2017,8,1373,21.69,57.75,20.56
81,2017,10,1384,23.13,54.91,21.97
82,2018,11,1347,37.7,40.39,21.91
83,2019,5,1328,26.27,51.18,22.55
84,2019,12,1467,6.12,83.49,10.39
85,2021,8,1389,16.37,69.46,14.17
86,2022,5,1255,33.5,51.78,14.73
88,2022,11,1357,25.55,64.36,10.09
89,2023,7,1394,27.92,64.58,7.5
90,2023,10,1402,27.58,64.22,8.21
91,2024,6,1413,27.64,62.58,9.78
92,2024,8,1391,32.28,57.46,10.26
93,2025,3,1419,22.59,68.83,8.59
94,2025,5,1449,23.32,68.18,8.49
95,2025,9,1168,29.3,63.89,6.81
