año,presidente,alineamiento_global,pct_aprueba,pct_desaprueba
1994,frei,0.8021,52.76,25.02
1995,frei,0.8111,50.12,26.6
1996,frei,0.8067,43.62,36.47
1997,frei,0.7863,42.3,39.9
1998,frei,0.7404,39.15,40.18
1999,frei,0.7909,32.02,44.87
2000,lagos,0.7445,50.3,29.38
2001,lagos,0.772,44.09,38.38
2002,lagos,0.8178,46.94,33.38
2003,lagos,0.8299,51.18,27.34
2004,lagos,0.7324,61.5,20.41
2005,lagos,0.7471,62.29,21.03
2006,bachelet,0.7937,50.29,31.87
2007,bachelet,0.7764,41.03,42.59
2008,bachelet,0.8171,42.84,42.06
2009,bachelet,0.7748,73.8,14.79
2010,pinera,0.9037,47.57,33.14
2011,pinera,0.9013,25.74,59.84
2012,pinera,0.9172,28.4,55.94
2013,pinera,0.891,33.51,45.93
2014,bachelet,0.8395,45.52,37.2
2015,bachelet,0.8297,25.82,60.18
2016,bachelet,0.791,18.17,65.26
2017,bachelet,0.7966,21.34,57.19
2018,pinera,0.8365,37.7,40.39
2019,pinera,0.8657,16.2,67.33
2021,pinera,0.8388,16.37,69.46
2022,boric,0.8932,29.52,58.07
2023,boric,0.8867,27.75,64.4
2024,boric,0.8587,29.96,60.02
2025,boric,0.8653,25.07,66.97
