presidente,año_programa,año_cuenta,año_anterior,continuidad_inter_anual
aylwin,1990,1991,1990,0.9448
aylwin,1990,1992,1991,0.9617
aylwin,1990,1993,1992,0.978
frei,1994,1995,1994,0.9308
frei,1994,1996,1995,0.9413
frei,1994,1997,1996,0.9785
frei,1994,1998,1997,0.964
frei,1994,1999,1998,0.9718
lagos,2000,2001,2000,0.9117
lagos,2000,2002,2001,0.9444
lagos,2000,2003,2002,0.9579
lagos,2000,2004,2003,0.9472
lagos,2000,2005,2004,0.9448
bachelet,2006,2007,2006,0.9754
bachelet,2006,2008,2007,0.9899
bachelet,2006,2009,2008,0.9739
pinera,2010,2011,2010,0.9902
pinera,2010,2012,2011,0.9863
pinera,2010,2013,2012,0.9871
bachelet,2014,2015,2014,0.9913
bachelet,2014,2016,2015,0.984
bachelet,2014,2017,2016,0.9789
pinera,2018,2019,2018,0.9724
pinera,2018,2020,2019,0.9357
pinera,2018,2021,2020,0.9531
boric,2022,2023,2022,0.9822
boric,2022,2024,2023,0.9795
boric,2022,2025,2024,0.9805
