tipo,año,presidente,archivo_origen,archivo_procesado,metodo,n_palabras,duracion_segundos
programa,1990,aylwin,1990_Programa_Aylwin.pdf,1990_aylwin.txt,ocr,37981,392.2
programa,1994,frei,1994_Programa_Frei.pdf,1994_frei.txt,ocr,23168,500.1
programa,2000,lagos,2000_Programa_Lagos.pdf,2000_lagos.txt,pdfplumber,15089,8.7
programa,2006,bachelet,2006_Programa_Bachelet.pdf,2006_bachelet.txt,pdfplumber,49331,12.3
programa,2010,pinera,2010_Programa_Pinera.pdf,2010_pinera.txt,pdfplumber,50999,12.9
programa,2014,bachelet,2014_Programa_Bachelet.pdf,2014_bachelet.txt,pdfplumber,62688,16.7
programa,2018,pinera,2018_Programa_Pinera.pdf,2018_pinera.txt,pdfplumber,50828,12.0
programa,2022,boric,2022_Programa_Boric.pdf,2022_boric.txt,pdfplumber,54521,37.7
programa,2026,kast,2026_Programa_Kast.pdf,2026_kast.txt,pdfplumber,72162,25.5
cuenta,1990,aylwin,19900521.pdf,1990_aylwin.txt,pdfplumber,21402,4.8
cuenta,1991,aylwin,19910521.pdf,1991_aylwin.txt,pdfplumber,12716,3.1
cuenta,1992,aylwin,19920521.pdf,1992_aylwin.txt,pdfplumber,18684,3.8
cuenta,1993,aylwin,19930521.pdf,1993_aylwin.txt,pdfplumber,24234,6.1
cuenta,1994,frei,19940521.pdf,1994_frei.txt,pdfplumber,16582,4.0
cuenta,1995,frei,19950521.pdf,1995_frei.txt,pdfplumber,12810,3.0
cuenta,1996,frei,19960521.pdf,1996_frei.txt,ocr,17103,234.3
cuenta,1997,frei,19970521.pdf,1997_frei.txt,ocr,29448,422.5
cuenta,1998,frei,19980521.pdf,1998_frei.txt,pdfplumber,10640,4.6
cuenta,1999,frei,19990521.pdf,1999_frei.txt,pdfplumber,20511,4.8
cuenta,2000,lagos,20000521.pdf,2000_lagos.txt,pdfplumber,10309,2.9
cuenta,2001,lagos,20010521.pdf,2001_lagos.txt,pdfplumber,8893,2.4
cuenta,2002,lagos,20020521.pdf,2002_lagos.txt,pdfplumber,12322,3.0
cuenta,2003,lagos,20030521.pdf,2003_lagos.txt,pdfplumber,10480,2.5
cuenta,2004,lagos,20040521.pdf,2004_lagos.txt,pdfplumber,11958,2.8
cuenta,2005,lagos,20050521.pdf,2005_lagos.txt,pdfplumber,10033,2.4
cuenta,2006,bachelet,20060521.pdf,2006_bachelet.txt,pdfplumber,11257,2.5
cuenta,2007,bachelet,20070521.pdf,2007_bachelet.txt,pdfplumber,15514,4.5
cuenta,2008,bachelet,20080521.pdf,2008_bachelet.txt,pdfplumber,20693,4.5
cuenta,2009,bachelet,20090521.pdf,2009_bachelet.txt,pdfplumber,15476,3.6
cuenta,2010,pinera,20100521.pdf,2010_pinera.txt,pdfplumber,17397,5.3
cuenta,2011,pinera,20110521.pdf,2011_pinera.txt,pdfplumber,14446,3.7
cuenta,2012,pinera,20120521.pdf,2012_pinera.txt,pdfplumber,18324,5.4
cuenta,2013,pinera,20130521.pdf,2013_pinera.txt,pdfplumber,14548,3.9
cuenta,2014,bachelet,20140521.pdf,2014_bachelet.txt,pdfplumber,19479,5.7
cuenta,2015,bachelet,20150521.pdf,2015_bachelet.txt,pdfplumber,16565,4.2
cuenta,2016,bachelet,20160521.pdf,2016_bachelet.txt,pdfplumber,13425,4.1
cuenta,2017,bachelet,20170601.pdf,2017_bachelet.txt,pdfplumber,17785,4.0
cuenta,2018,pinera,20180601.pdf,2018_pinera.txt,pdfplumber,15282,3.8
cuenta,2019,pinera,20190601.pdf,2019_pinera.txt,pdfplumber,11086,2.6
cuenta,2020,pinera,20200731.pdf,2020_pinera.txt,pdfplumber,11223,4.6
cuenta,2021,pinera,20210601.pdf,2021_pinera.txt,pdfplumber,9987,6.9
cuenta,2022,boric,20220601.pdf,2022_boric.txt,pdfplumber,17712,10.5
cuenta,2023,boric,20230601.pdf,2023_boric.txt,pdfplumber,27463,23.9
cuenta,2024,boric,20240601.pdf,2024_boric.txt,pdfplumber,22503,6.4
cuenta,2025,boric,20250601.pdf,2025_boric.txt,pdfplumber,18105,5.0
