presidente,año_programa,año_cuenta,tema,en_programa,en_cuenta,diferencia
aylwin,1990,1990,Araucanía/Mapuche,0.04,0.14,0.1
aylwin,1990,1990,Constitución,2.09,2.58,0.49
aylwin,1990,1990,Corrupción,0.15,0.14,-0.01
aylwin,1990,1990,Derechos humanos,1.29,1.15,-0.14
aylwin,1990,1990,Desigualdad,1.02,1.15,0.13
aylwin,1990,1990,Economía,16.4,16.61,0.21
aylwin,1990,1990,Educación,10.1,7.73,-2.37
aylwin,1990,1990,Género/Mujer,1.14,0.95,-0.19
aylwin,1990,1990,Medio ambiente,0.57,0.75,0.18
aylwin,1990,1990,Migración,0.87,0.47,-0.4
aylwin,1990,1990,Niños/Infancia,0.08,0.07,-0.01
aylwin,1990,1990,Pensiones,1.06,0.27,-0.79
aylwin,1990,1990,Pobreza,2.73,3.59,0.86
aylwin,1990,1990,Regiones,4.63,2.24,-2.39
aylwin,1990,1990,Salud,3.07,3.05,-0.02
aylwin,1990,1990,Seguridad,2.24,2.85,0.61
aylwin,1990,1990,Tecnología,2.32,1.76,-0.56
aylwin,1990,1990,Trabajo/Empleo,6.91,3.32,-3.59
aylwin,1990,1990,Vivienda,1.75,2.64,0.89
aylwin,1990,1991,Araucanía/Mapuche,0.04,0.23,0.19
aylwin,1990,1991,Constitución,2.09,4.3,2.21
aylwin,1990,1991,Corrupción,0.15,0.0,-0.15
aylwin,1990,1991,Derechos humanos,1.29,2.15,0.86
aylwin,1990,1991,Desigualdad,1.02,0.79,-0.23
aylwin,1990,1991,Economía,16.4,12.11,-4.29
aylwin,1990,1991,Educación,10.1,2.04,-8.06
aylwin,1990,1991,Género/Mujer,1.14,1.24,0.1
aylwin,1990,1991,Medio ambiente,0.57,0.57,0.0
aylwin,1990,1991,Migración,0.87,0.79,-0.08
aylwin,1990,1991,Niños/Infancia,0.08,0.0,-0.08
aylwin,1990,1991,Pensiones,1.06,0.45,-0.61
aylwin,1990,1991,Pobreza,2.73,2.72,-0.01
aylwin,1990,1991,Regiones,4.63,2.6,-2.03
aylwin,1990,1991,Salud,3.07,1.13,-1.94
aylwin,1990,1991,Seguridad,2.24,5.66,3.42
aylwin,1990,1991,Tecnología,2.32,1.58,-0.74
aylwin,1990,1991,Trabajo/Empleo,6.91,2.94,-3.97
aylwin,1990,1991,Vivienda,1.75,1.47,-0.28
aylwin,1990,1992,Araucanía/Mapuche,0.04,0.08,0.04
aylwin,1990,1992,Constitución,2.09,6.73,4.64
aylwin,1990,1992,Corrupción,0.15,0.31,0.16
