tipo,archivo,n_paginas,n_chars,chars_por_pagina,metodo_recomendado
programas,1990_Programa_Aylwin.pdf,50,233767,4675.3,pdfplumber
programas,1994_Programa_Frei.pdf,73,0,0.0,ocr
programas,2000_Programa_Lagos.pdf,31,99164,3198.8,pdfplumber
programas,2006_Programa_Bachelet.pdf,102,324123,3177.7,pdfplumber
programas,2010_Programa_Pinera.pdf,172,323076,1878.3,pdfplumber
programas,2014_Programa_Bachelet.pdf,198,416125,2101.6,pdfplumber
programas,2018_Programa_Pinera.pdf,194,325615,1678.4,pdfplumber
programas,2022_Programa_Boric.pdf,229,363820,1588.7,pdfplumber
programas,2026_Programa_Kast.pdf,204,475296,2329.9,pdfplumber
cuentas,19900521.pdf,81,138037,1704.2,pdfplumber
cuentas,19910521.pdf,43,82114,1909.6,pdfplumber
cuentas,19920521.pdf,71,120272,1694.0,pdfplumber
cuentas,19930521.pdf,82,155293,1893.8,pdfplumber
cuentas,19940521.pdf,56,105770,1888.8,pdfplumber
cuentas,19950521.pdf,43,80510,1872.3,pdfplumber
cuentas,19960521.pdf,45,0,0.0,ocr
cuentas,19970521.pdf,68,0,0.0,ocr
cuentas,19980521.pdf,37,66314,1792.3,pdfplumber
cuentas,19990521.pdf,68,127794,1879.3,pdfplumber
cuentas,20000521.pdf,32,64025,2000.8,pdfplumber
cuentas,20010521.pdf,18,54228,3012.7,pdfplumber
cuentas,20020521.pdf,35,74471,2127.7,pdfplumber
cuentas,20030521.pdf,20,63474,3173.7,pdfplumber
cuentas,20040521.pdf,21,72432,3449.1,pdfplumber
cuentas,20050521.pdf,24,61105,2546.0,pdfplumber
cuentas,20060521.pdf,19,70075,3688.2,pdfplumber
cuentas,20070521.pdf,43,95871,2229.6,pdfplumber
cuentas,20080521.pdf,48,127362,2653.4,pdfplumber
cuentas,20090521.pdf,26,95785,3684.0,pdfplumber
cuentas,20100521.pdf,38,110272,2901.9,pdfplumber
cuentas,20110521.pdf,32,91147,2848.3,pdfplumber
cuentas,20120521.pdf,34,115383,3393.6,pdfplumber
cuentas,20130521.pdf,26,90680,3487.7,pdfplumber
cuentas,20140521.pdf,40,121513,3037.8,pdfplumber
cuentas,20150521.pdf,36,103190,2866.4,pdfplumber
cuentas,20160521.pdf,30,84205,2806.8,pdfplumber
cuentas,20170601.pdf,36,109310,3036.4,pdfplumber
cuentas,20180601.pdf,34,93835,2759.9,pdfplumber
cuentas,20190601.pdf,26,69944,2690.2,pdfplumber
cuentas,20200731.pdf,39,68249,1750.0,pdfplumber
cuentas,20210601.pdf,37,62442,1687.6,pdfplumber
cuentas,20220601.pdf,46,108972,2369.0,pdfplumber
cuentas,20230601.pdf,58,166500,2870.7,pdfplumber
cuentas,20240601.pdf,44,136852,3110.3,pdfplumber
cuentas,20250601.pdf,60,110904,1848.4,pdfplumber
