presidente,año_programa,año_cuenta,top3_programa,top3_cuenta,coincidencias,fidelidad_top3
aylwin,1990,1990,"Economía, Educación, Trabajo/Empleo","Economía, Educación, Pobreza",2,0.67
aylwin,1990,1991,"Economía, Educación, Trabajo/Empleo","Constitución, Economía, Seguridad",1,0.33
aylwin,1990,1992,"Economía, Educación, Trabajo/Empleo","Constitución, Economía, Educación",2,0.67
aylwin,1990,1993,"Economía, Educación, Trabajo/Empleo","Economía, Educación, Seguridad",2,0.67
frei,1994,1994,"Economía, Educación, Pobreza","Economía, Educación, Pobreza",3,1.0
frei,1994,1995,"Economía, Educación, Pobreza","Economía, Educación, Salud",2,0.67
frei,1994,1996,"Economía, Educación, Pobreza","Economía, Educación, Salud",2,0.67
frei,1994,1997,"Economía, Educación, Pobreza","Economía, Educación, Salud",2,0.67
frei,1994,1998,"Economía, Educación, Pobreza","Economía, Educación, Salud",2,0.67
frei,1994,1999,"Economía, Educación, Pobreza","Economía, Educación, Trabajo/Empleo",2,0.67
lagos,2000,2000,"Economía, Educación, Salud","Economía, Educación, Regiones",2,0.67
lagos,2000,2001,"Economía, Educación, Salud","Economía, Educación, Salud",3,1.0
lagos,2000,2002,"Economía, Educación, Salud","Economía, Educación, Salud",3,1.0
lagos,2000,2003,"Economía, Educación, Salud","Economía, Educación, Trabajo/Empleo",2,0.67
lagos,2000,2004,"Economía, Educación, Salud","Economía, Educación, Regiones",2,0.67
lagos,2000,2005,"Economía, Educación, Salud","Economía, Educación, Trabajo/Empleo",2,0.67
bachelet,2006,2006,"Economía, Educación, Salud","Economía, Educación, Salud",3,1.0
bachelet,2006,2007,"Economía, Educación, Salud","Economía, Educación, Regiones",2,0.67
bachelet,2006,2008,"Economía, Educación, Salud","Economía, Educación, Regiones",2,0.67
bachelet,2006,2009,"Economía, Educación, Salud","Economía, Educación, Trabajo/Empleo",2,0.67
pinera,2010,2010,"Economía, Educación, Regiones","Economía, Educación, Salud",2,0.67
pinera,2010,2011,"Economía, Educación, Regiones","Economía, Educación, Salud",2,0.67
pinera,2010,2012,"Economía, Educación, Regiones","Economía, Educación, Seguridad",2,0.67
pinera,2010,2013,"Economía, Educación, Regiones","Economía, Educación, Seguridad",2,0.67
bachelet,2014,2014,"Economía, Educación, Regiones","Economía, Educación, Regiones",3,1.0
bachelet,2014,2015,"Economía, Educación, Regiones","Economía, Educación, Regiones",3,1.0
bachelet,2014,2016,"Economía, Educación, Regiones","Economía, Educación, Salud",2,0.67
bachelet,2014,2017,"Economía, Educación, Regiones","Economía, Educación, Regiones",3,1.0
pinera,2018,2018,"Economía, Educación, Salud","Economía, Educación, Seguridad",2,0.67
pinera,2018,2019,"Economía, Educación, Salud","Economía, Educación, Seguridad",2,0.67
pinera,2018,2020,"Economía, Educación, Salud","Economía, Educación, Salud",3,1.0
pinera,2018,2021,"Economía, Educación, Salud","Educación, Salud, Seguridad",2,0.67
boric,2022,2022,"Economía, Educación, Salud","Economía, Educación, Regiones",2,0.67
boric,2022,2023,"Economía, Educación, Salud","Economía, Regiones, Seguridad",1,0.33
boric,2022,2024,"Economía, Educación, Salud","Economía, Educación, Seguridad",2,0.67
boric,2022,2025,"Economía, Educación, Salud","Economía, Educación, Salud",3,1.0
