presidente,año_programa,año_cuenta,año_de_mandato,fidelidad
aylwin,1990,1990,1,0.9785
aylwin,1990,1991,2,0.9223
aylwin,1990,1992,3,0.9558
aylwin,1990,1993,4,0.9661
frei,1994,1994,1,0.9615
frei,1994,1995,2,0.9526
frei,1994,1996,3,0.9584
frei,1994,1997,4,0.9742
frei,1994,1998,5,0.9185
frei,1994,1999,6,0.936
lagos,2000,2000,1,0.9568
lagos,2000,2001,2,0.9484
lagos,2000,2002,3,0.9369
lagos,2000,2003,4,0.9557
lagos,2000,2004,5,0.9648
lagos,2000,2005,6,0.9422
bachelet,2006,2006,1,0.9835
bachelet,2006,2007,2,0.962
bachelet,2006,2008,3,0.9811
bachelet,2006,2009,4,0.9686
pinera,2010,2010,1,0.9628
pinera,2010,2011,2,0.9696
pinera,2010,2012,3,0.9676
pinera,2010,2013,4,0.9477
bachelet,2014,2014,1,0.9715
bachelet,2014,2015,2,0.9825
bachelet,2014,2016,3,0.9683
bachelet,2014,2017,4,0.9676
pinera,2018,2018,1,0.9785
pinera,2018,2019,2,0.9677
pinera,2018,2020,3,0.9598
pinera,2018,2021,4,0.9293
boric,2022,2022,1,0.9691
boric,2022,2023,2,0.9481
boric,2022,2024,3,0.9663
boric,2022,2025,4,0.9828
