tipo,año,presidente,archivo,n_palabras_total,menciones_Araucanía/Mapuche,menciones_Constitución,menciones_Corrupción,menciones_Derechos humanos,menciones_Desigualdad,menciones_Economía,menciones_Educación,menciones_Género/Mujer,menciones_Medio ambiente,menciones_Migración,menciones_Niños/Infancia,menciones_Pensiones,menciones_Pobreza,menciones_Regiones,menciones_Salud,menciones_Seguridad,menciones_Tecnología,menciones_Trabajo/Empleo,menciones_Vivienda,por_mil_Araucanía/Mapuche,por_mil_Constitución,por_mil_Corrupción,por_mil_Derechos humanos,por_mil_Desigualdad,por_mil_Economía,por_mil_Educación,por_mil_Género/Mujer,por_mil_Medio ambiente,por_mil_Migración,por_mil_Niños/Infancia,por_mil_Pensiones,por_mil_Pobreza,por_mil_Regiones,por_mil_Salud,por_mil_Seguridad,por_mil_Tecnología,por_mil_Trabajo/Empleo,por_mil_Vivienda
programa,1990,aylwin,1990_aylwin.txt,26343,1,55,4,34,27,432,266,30,15,23,2,28,72,122,81,59,61,182,46,0.04,2.09,0.15,1.29,1.02,16.4,10.1,1.14,0.57,0.87,0.08,1.06,2.73,4.63,3.07,2.24,2.32,6.91,1.75
programa,1994,frei,1994_frei.txt,15744,0,12,12,11,7,289,189,79,26,11,10,16,155,142,128,52,33,97,18,0.0,0.76,0.76,0.7,0.44,18.36,12.0,5.02,1.65,0.7,0.64,1.02,9.85,9.02,8.13,3.3,2.1,6.16,1.14
programa,2000,lagos,2000_lagos.txt,10344,5,22,9,14,24,143,158,54,20,0,10,21,32,87,105,63,32,63,36,0.48,2.13,0.87,1.35,2.32,13.82,15.27,5.22,1.93,0.0,0.97,2.03,3.09,8.41,10.15,6.09,3.09,6.09,3.48
programa,2006,bachelet,2006_bachelet.txt,35615,13,19,27,26,47,515,327,108,68,25,23,93,110,180,234,142,134,185,76,0.37,0.53,0.76,0.73,1.32,14.46,9.18,3.03,1.91,0.7,0.65,2.61,3.09,5.05,6.57,3.99,3.76,5.19,2.13
programa,2010,pinera,2010_pinera.txt,35104,22,14,27,20,5,469,388,67,84,17,27,41,136,219,164,140,90,145,82,0.63,0.4,0.77,0.57,0.14,13.36,11.05,1.91,2.39,0.48,0.77,1.17,3.87,6.24,4.67,3.99,2.56,4.13,2.34
programa,2014,bachelet,2014_bachelet.txt,43620,44,170,40,70,60,703,544,170,146,26,57,67,105,346,245,155,166,194,88,1.01,3.9,0.92,1.6,1.38,16.12,12.47,3.9,3.35,0.6,1.31,1.54,2.41,7.93,5.62,3.55,3.81,4.45,2.02
programa,2018,pinera,2018_pinera.txt,34245,38,48,31,15,20,377,439,114,123,59,35,83,139,158,272,217,145,158,44,1.11,1.4,0.91,0.44,0.58,11.01,12.82,3.33,3.59,1.72,1.02,2.42,4.06,4.61,7.94,6.34,4.23,4.61,1.28
programa,2022,boric,2022_boric.txt,37259,32,39,42,80,42,482,544,238,217,58,25,73,26,256,457,199,219,278,111,0.86,1.05,1.13,2.15,1.13,12.94,14.6,6.39,5.82,1.56,0.67,1.96,0.7,6.87,12.27,5.34,5.88,7.46,2.98
programa,2026,kast,2026_kast.txt,49899,30,36,63,18,3,664,327,56,234,73,26,128,49,171,343,264,168,172,113,0.6,0.72,1.26,0.36,0.06,13.31,6.55,1.12,4.69,1.46,0.52,2.57,0.98,3.43,6.87,5.29,3.37,3.45,2.26
cuenta,1990,aylwin,1990_aylwin.txt,14748,2,38,2,17,17,245,114,14,11,7,1,4,53,33,45,42,26,49,39,0.14,2.58,0.14,1.15,1.15,16.61,7.73,0.95,0.75,0.47,0.07,0.27,3.59,2.24,3.05,2.85,1.76,3.32,2.64
